No.,ID,Name Variable,Value,Timestamp,Kind of Data,Connected Wifi,,,,,,seconds
0,D2831,S1_PARA_SPRAY_VALVE,0,2024-05-11T16:34:05.656087,Setting,1,,16,34,5.656087,59645.65609,0
1,M50,S1_DRYING_1_DISABLE,0,2024-05-11T16:34:05.680419,Station Status,1,,16,34,5.680419,59645.68042,0.024332
2,D2820,S1_PARA_T_PRE_SPRAY,25,2024-05-11T16:34:05.715277,Setting,1,,16,34,5.715277,59645.71528,0.05919
3,D2821,S1_PARA_T_SPRAYING,28,2024-05-11T16:34:05.715426,Setting,1,,16,34,5.715426,59645.71543,0.059339
4,M51,S1_DRYING_2_DISABLE,0,2024-05-11T16:34:05.734834,Station Status,1,,16,34,5.734834,59645.73483,0.078747
5,D5899,S1_FS_HISTORY_1_0_0,26,2024-05-11T16:34:05.739833,Chemical Detection History,1,,16,34,5.739833,59645.73983,0.083746
6,D2573,S1_PLASTIC_TRAYS_QTY,0,2024-05-11T16:34:05.753673,Production Data,1,,16,34,5.753673,59645.75367,0.097586
7,Setup,Setup,4,2024-05-11T16:34:05.764327,MachineStatus,1,,16,34,5.764327,59645.76433,0.10824
8,M1800,CHEMICAL FAIL 3 TIMES AT: ROW 9 - COL 9,0,2024-05-11T16:34:05.765396,Alarm,1,,16,34,5.765396,59645.7654,0.109309
9,D5799,S1_FS_CURRENT_0_0,26,2024-05-11T16:34:05.788199,Chemical Detection Current,1,,16,34,5.788199,59645.7882,0.132112
10,M52,S1_ROBOT_ARM_DISABLE,1,2024-05-11T16:34:05.798707,Station Status,1,,16,34,5.798707,59645.79871,0.14262
11,D5889,S1_FS_HISTORY_1_0_1,24,2024-05-11T16:34:05.804320,Chemical Detection History,1,,16,34,5.80432,59645.80432,0.148233
12,M1801,CHEMICAL FAIL 3 TIMES AT: ROW 8 - COL 9,0,2024-05-11T16:34:05.821420,Alarm,1,,16,34,5.82142,59645.82142,0.165333
13,D2822,S1_PARA_SPRAY_DELAY,30,2024-05-11T16:34:05.821420,Setting,1,,16,34,5.82142,59645.82142,0.165333
14,D5789,S1_FS_CURRENT_0_1,24,2024-05-11T16:34:05.844090,Chemical Detection Current,1,,16,34,5.84409,59645.84409,0.188003
15,D5779,S1_FS_CURRENT_0_2,22,2024-05-11T16:34:05.849787,Chemical Detection Current,1,,16,34,5.849787,59645.84979,0.1937
16,D5879,S1_FS_HISTORY_1_0_2,22,2024-05-11T16:34:05.885852,Chemical Detection History,1,,16,34,5.885852,59645.88585,0.229765
17,D5869,S1_FS_HISTORY_1_0_3,25,2024-05-11T16:34:05.915513,Chemical Detection History,1,,16,34,5.915513,59645.91551,0.259426
18,D5859,S1_FS_HISTORY_1_0_4,21,2024-05-11T16:34:05.928698,Chemical Detection History,1,,16,34,5.928698,59645.9287,0.272611
19,D2832,S1_PARA_NOZZLE_CLEAN,0,2024-05-11T16:34:05.938991,Setting,1,,16,34,5.938991,59645.93899,0.282904
20,M53,S1_CAP_RUBBER_ENABLE,0,2024-05-11T16:34:05.949976,Station Status,1,,16,34,5.949976,59645.94998,0.293889
21,D5769,S1_FS_CURRENT_0_3,25,2024-05-11T16:34:05.963835,Chemical Detection Current,1,,16,34,5.963835,59645.96384,0.307748
22,D2603,productCountRaw,0,2024-05-11T16:34:05.971369,Production Data,1,,16,34,5.971369,59645.97137,0.315282
23,M1802,CHEMICAL FAIL 3 TIMES AT: ROW 7 - COL 9,0,2024-05-11T16:34:05.984638,Alarm,1,,16,34,5.984638,59645.98464,0.328551
24,D5849,S1_FS_HISTORY_1_0_5,25,2024-05-11T16:34:05.988635,Chemical Detection History,1,,16,34,5.988635,59645.98864,0.332548
25,D2826,S1_PARA_WAIT_TO_CLEAN_TIME,500,2024-05-11T16:34:05.999315,Setting,1,,16,34,5.999315,59645.99932,0.343228
26,M58,S1_CAP_NON_RUBBER_ENABLE,1,2024-05-11T16:34:06.013440,Station Status,1,,16,34,6.01344,59646.01344,0.357353
27,D5759,S1_FS_CURRENT_0_4,21,2024-05-11T16:34:06.021300,Chemical Detection Current,1,,16,34,6.0213,59646.0213,0.365213
28,M1803,CHEMICAL FAIL 3 TIMES AT: ROW 6 - COL 9,0,2024-05-11T16:34:06.037794,Alarm,1,,16,34,6.037794,59646.03779,0.381707
29,D5839,S1_FS_HISTORY_1_0_6,21,2024-05-11T16:34:06.050354,Chemical Detection History,1,,16,34,6.050354,59646.05035,0.394267
30,D5829,S1_FS_HISTORY_1_0_7,26,2024-05-11T16:34:06.054423,Chemical Detection History,1,,16,34,6.054423,59646.05442,0.398336
31,M59,S1_VISION_ENABLE,0,2024-05-11T16:34:06.068330,Station Status,1,,16,34,6.06833,59646.06833,0.412243
32,D5749,S1_FS_CURRENT_0_5,25,2024-05-11T16:34:06.071326,Chemical Detection Current,1,,16,34,6.071326,59646.07133,0.415239
33,M1804,CHEMICAL FAIL 3 TIMES AT: ROW 5 - COL 9,0,2024-05-11T16:34:06.082361,Alarm,1,,16,34,6.082361,59646.08236,0.426274
34,D2608,goodProductRaw,0,2024-05-11T16:34:06.099247,Production Data,1,,16,34,6.099247,59646.09925,0.44316
35,D2827,S1_PARA_CLEAN_DURATION_TIME,3,2024-05-11T16:34:06.103306,Setting,1,,16,34,6.103306,59646.10331,0.447219
36,D5819,S1_FS_HISTORY_1_0_8,22,2024-05-11T16:34:06.118166,Chemical Detection History,1,,16,34,6.118166,59646.11817,0.462079
37,M232,S1_PARA_DRY1_USE_BIT,1,2024-05-11T16:34:06.121226,Station Status,1,,16,34,6.121226,59646.12123,0.465139
38,D5739,S1_FS_CURRENT_0_6,21,2024-05-11T16:34:06.136785,Chemical Detection Current,1,,16,34,6.136785,59646.13679,0.480698
39,D5729,S1_FS_CURRENT_0_7,26,2024-05-11T16:34:06.139782,Chemical Detection Current,1,,16,34,6.139782,59646.13978,0.483695
40,D2613,errorProductRaw,0,2024-05-11T16:34:06.160639,Production Data,1,,16,34,6.160639,59646.16064,0.504552
41,D2833,S1_PARA_SPRAY_FILL_WAY_INSERTED,0,2024-05-11T16:34:06.171426,Setting,1,,16,34,6.171426,59646.17143,0.515339
