No.,SS_Index,ID_SS,SS_Name,SS_Type,SS_Value
0,50,M50,S1_DRYING_1_DISABLE,b,0
1,51,M51,S1_DRYING_2_DISABLE,b,0
2,52,M52,S1_ROBOT_ARM_DISABLE,b,0
3,53,M53,S1_CAP_RUBBER_ENABLE,b,0
4,58,M58,S1_CAP_NON_RUBBER_ENABLE,b,0
5,59,M59,S1_VISION_ENABLE,b,0
6,232,M232,S1_PARA_DRY1_USE_BIT,b,0
7,211,M211,S1_PARA_DRY1_PAUSE1_BIT,b,0
8,212,M212,S1_PARA_DRY1_PAUSE2_BIT,b,0
9,213,M213,S1_PARA_DRY1_PAUSE3_BIT,b,0
10,292,M292,S1_PARA_DRY2_USE_BIT,b,0
11,281,M281,S1_PARA_DRY2_PAUSE1_BIT,b,0
12,282,M282,S1_PARA_DRY2_PAUSE2_BIT,b,0
13,283,M283,S1_PARA_DRY2_PAUSE3_BIT,b,0
14,4,M4,S1_PARA_HEATING_SS,b,0
15,73,M73,S1_PARA_TESTING_DOSING_BIT,b,0
16,72,M72,S1_PARA_TESTING_DRY1_BIT,b,0
17,74,M74,S1_PARA_TESTING_ROBOT_BIT,b,0
18,75,M75,S1_PARA_TESTING_HEATING_BIT,b,0
19,76,M76,S1_PARA_TESTING_FS_BIT,b,0
20,69,M69,S1_PARA_TESTING_DRY2_BIT,b,0
