No.,ID,Name Variable,Value,Timestamp,Kind of Data,Connected Wifi,,,,,,seconds
0,D3050,BOTTOM_CAP_REJ_TR1,1,2024-01-23T09:46:14.877015,Checking,1,,9,46,14.877015,35174.87702,0
1,D4116,S8_OFF_SET_TR1,20.95,2024-01-23T09:46:14.896834,Setting,1,,9,46,14.896834,35174.89683,0.019819
2,M32,AIR_PRESSURE_LOW,0,2024-01-23T09:46:14.908071,Alarm,1,,9,46,14.908071,35174.90807,0.031056
3,D3052,SILICON_PRESENCE_REJ_TR1,2,2024-01-23T09:46:14.949538,Checking,1,,9,46,14.949538,35174.94954,0.072523
4,M33,INDEX_MOTOR_OVERLOAD,0,2024-01-23T09:46:14.995920,Alarm,1,,9,46,14.99592,35174.99592,0.118905
5,D4124,S8_MINIMUN_HEIGHT_VALUE_TR1,21,2024-01-23T09:46:15.005904,Setting,1,,9,46,15.005904,35175.0059,0.128889
6,M34,MANUAL_CONTROL_NOT_ON,0,2024-01-23T09:46:15.049098,Alarm,1,,9,46,15.049098,35175.0491,0.172083
7,D3054,COVER_PRESENCE_REJ_TR1,2,2024-01-23T09:46:15.055036,Checking,1,,9,46,15.055036,35175.05504,0.178021
8,M35,EMERGENCY_STOP_PREESD,0,2024-01-23T09:46:15.110269,Alarm,1,,9,46,15.110269,35175.11027,0.233254
9,D4128,S8_MAXIMUM_HEIGHT_VALUE_TR1,21.32,2024-01-23T09:46:15.119117,Setting,1,,9,46,15.119117,35175.11912,0.242102
10,M36,MANCHINE_IN_AUTO_MODE,0,2024-01-23T09:46:15.174286,Alarm,1,,9,46,15.174286,35175.17429,0.297271
11,D3056,HEIGHT_CHK_REJ_TR1,3,2024-01-23T09:46:15.211797,Checking,1,,9,46,15.211797,35175.2118,0.334782
12,D3018,errorProduct,0,2024-01-23T09:46:15.222029,Counting,1,,9,46,15.222029,35175.22203,0.345014
13,D4316,S8_OFF_SET_TR3,21.07,2024-01-23T09:46:15.228392,Setting,1,,9,46,15.228392,35175.22839,0.351377
14,D3058,LEAK_TEST_CHK_OK_TR1,2,2024-01-23T09:46:15.255615,Checking,1,,9,46,15.255615,35175.25562,0.3786
15,D4324,S8_MINIMUM_HEIGHT_VALUE_TR3,21,2024-01-23T09:46:15.271547,Setting,1,,9,46,15.271547,35175.27155,0.394532
16,D3064,BOTTOM_CAP_REJ_TR2,1,2024-01-23T09:46:15.306193,Checking,1,,9,46,15.306193,35175.30619,0.429178
17,D4328,S8_MAXIMUM_HEIGHT_VALUE_TR3,21.3,2024-01-23T09:46:15.350019,Setting,1,,9,46,15.350019,35175.35002,0.473004
18,D3066,SILICON_PRESENCE_REJ_TR2,2,2024-01-23T09:46:15.404944,Checking,1,,9,46,15.404944,35175.40494,0.527929
19,M37,MANUAL_MODE_SELECTED,0,2024-01-23T09:46:15.439781,Alarm,1,,9,46,15.439781,35175.43978,0.562766
20,D4216,S9_OFF_SET_TR2,20.75,2024-01-23T09:46:15.458988,Setting,1,,9,46,15.458988,35175.45899,0.581973
21,D3068,COVER_PRESENCE_REJ_TR2,2,2024-01-23T09:46:15.497291,Checking,1,,9,46,15.497291,35175.49729,0.620276
22,D4224,S9_MINIMUM_HEIGHT_VALUE_TR2,20.8,2024-01-23T09:46:15.513281,Setting,1,,9,46,15.513281,35175.51328,0.636266
23,M38,BOWL_FEEDER_SWITCH_NOT_ON,0,2024-01-23T09:46:15.553127,Alarm,1,,9,46,15.553127,35175.55313,0.676112
24,D3070,HEIGHT_CHK_REJ_TR2,4,2024-01-23T09:46:15.572922,Checking,1,,9,46,15.572922,35175.57292,0.695907
25,D4228,S9_MAXIMUM_HEIGHT_VALUE_TR2,21.4,2024-01-23T09:46:15.602808,Setting,1,,9,46,15.602808,35175.60281,0.725793
26,M39,LINEAR_FEEDER_SWITCH_NOT_ON,0,2024-01-23T09:46:15.622670,Alarm,1,,9,46,15.62267,35175.62267,0.745655
27,D3072,LEAK_TEST_CHK_TR2,1,2024-01-23T09:46:15.652140,Checking,1,,9,46,15.65214,35175.65214,0.775125
28,D4416,S9_OFF_SET_TR4,20.98,2024-01-23T09:46:15.681974,Setting,1,,9,46,15.681974,35175.68197,0.804959
29,M72,CC_LINK_COMMUNICATION_ERROR,0,2024-01-23T09:46:15.692706,Alarm,1,,9,46,15.692706,35175.69271,0.815691
30,D3076,BOTTOM_CAP_REJ_TR3,1,2024-01-23T09:46:15.759998,Checking,1,,9,46,15.759998,35175.76,0.882983
31,M73,SET_BATCH_QTY_RECHED,0,2024-01-23T09:46:15.770337,Alarm,1,,9,46,15.770337,35175.77034,0.893322
32,D4424,S9_HEIGHT_MINIMUM_VALUE_TR4,21,2024-01-23T09:46:15.779197,Setting,1,,9,46,15.779197,35175.7792,0.902182
33,D3078,SILICON_PRESENCE_REJ_TR3,2,2024-01-23T09:46:15.794407,Checking,1,,9,46,15.794407,35175.79441,0.917392
34,M41,S1_HORZ_PICK_&_PLACE_SLIDE_NOT_REV,0,2024-01-23T09:46:15.812959,Alarm,1,,9,46,15.812959,35175.81296,0.935944
35,D3080,COVER_PRESENCE_REJ_TR3,3,2024-01-23T09:46:15.848479,Checking,1,,9,46,15.848479,35175.84848,0.971464
36,M42,S1_SLING_PLATE_VERT_LIFT_CYL_NOT_DN_,0,2024-01-23T09:46:15.942222,Alarm,1,,9,46,15.942222,35175.94222,1.065207
37,D4428,S9_MAXIMUM_HEIGHT_VALUE_TR4,21.32,2024-01-23T09:46:15.944334,Setting,1,,9,46,15.944334,35175.94433,1.067319
38,D3082,HEIGHT_CHK_REJ_TR3,0,2024-01-23T09:46:15.965161,Checking,1,,9,46,15.965161,35175.96516,1.088146
39,M44,S2_HORZ_PICK_&_PLACE_CYL_NOT_REV,0,2024-01-23T09:46:15.985576,Alarm,1,,9,46,15.985576,35175.98558,1.108561
40,D3084,LEAK_TEST_CHK_TR3,5,2024-01-23T09:46:16.013027,Checking,1,,9,46,16.013027,35176.01303,1.136012
41,Run,Run,1,2024-01-23T09:46:16.071452,MachineStatus,1,,9,46,16.071452,35176.07145,1.194437
42,M45,S2_SING_PLATE_VERT_LIFT_CYL_NOT_DN,0,2024-01-23T09:46:16.072949,Alarm,1,,9,46,16.072949,35176.07295,1.195934
43,D3088,BOTTOM_CAL_REJ_TR4,1,2024-01-23T09:46:16.089776,Checking,1,,9,46,16.089776,35176.08978,1.212761
44,M47,S3_SILICON_PRESSING_CYL_NOT_UP_TR1,0,2024-01-23T09:46:16.141310,Alarm,1,,9,46,16.14131,35176.14131,1.264295
45,D3004,TOTAL_CNT_TR3,21,2024-01-23T09:46:16.142902,Counting,1,,9,46,16.142902,35176.1429,1.265887
46,D3090,SILICON_PRESENCE_REJ_TR4,3,2024-01-23T09:46:16.165123,Checking,1,,9,46,16.165123,35176.16512,1.288108
47,D3006,TOTAL_CNT_TR4,21,2024-01-23T09:46:16.193303,Counting,1,,9,46,16.193303,35176.1933,1.316288
48,M48,S3_SILICON_PRESSING_CYL_NOT_UP_TR2,0,2024-01-23T09:46:16.220051,Alarm,1,,9,46,16.220051,35176.22005,1.343036
49,D3092,COVER_PRESENCE_REJ_TR4,2,2024-01-23T09:46:16.235997,Checking,1,,9,46,16.235997,35176.236,1.358982
50,M49,S3_SILICON_PRESSING_CYL_NOT_UP_TR3,0,2024-01-23T09:46:16.253611,Alarm,1,,9,46,16.253611,35176.25361,1.376596
51,D3094,HEIGHT_CHK_REJ_TR4,4,2024-01-23T09:46:16.287915,Checking,1,,9,46,16.287915,35176.28792,1.4109
52,D3020,GOOD_CNT_TR1,12,2024-01-23T09:46:16.293899,Counting,1,,9,46,16.293899,35176.2939,1.416884
53,D3096,LEAK_TEST_CHK_TR4,1,2024-01-23T09:46:16.327503,Checking,1,,9,46,16.327503,35176.3275,1.450488
54,D3022,GOOD_CNT_TR2,12,2024-01-23T09:46:16.358109,Counting,1,,9,46,16.358109,35176.35811,1.481094
55,M50,S3_SILICON_PRESSING_CYL_NOT_UP_TR4,0,2024-01-23T09:46:16.359691,Alarm,1,,9,46,16.359691,35176.35969,1.482676
56,D3024,GOOD_CNT_TR3,11,2024-01-23T09:46:16.412402,Counting,1,,9,46,16.412402,35176.4124,1.535387
57,M52,S4_HORZ_PICK_&_PLACE_SLIDE_NOT_REV,0,2024-01-23T09:46:16.419273,Alarm,1,,9,46,16.419273,35176.41927,1.542258
58,M53,S4_SING_PLATE_VERT_LIFT_CYL_NOT_UP,0,2024-01-23T09:46:16.487192,Alarm,1,,9,46,16.487192,35176.48719,1.610177
59,D3026,GOOD_CNT_TR4,11,2024-01-23T09:46:16.496898,Counting,1,,9,46,16.496898,35176.4969,1.619883
60,M55,S5_VERT_SLIDE_NOT_DN,0,2024-01-23T09:46:16.547077,Alarm,1,,9,46,16.547077,35176.54708,1.670062
61,M57,S6_SUPPORT_CYL_NOT_DN_TR2,0,2024-01-23T09:46:16.640614,Alarm,1,,9,46,16.640614,35176.64061,1.763599
62,M58,S6_SUPPORT_CYL_NOT_DN_TR4,0,2024-01-23T09:46:16.685869,Alarm,1,,9,46,16.685869,35176.68587,1.808854
63,D3039,productCount,4,2024-01-23T09:46:16.719381,Counting,1,,9,46,16.719381,35176.71938,1.842366
64,M60,S6_WELDING_UNIT_NOT_READY,0,2024-01-23T09:46:16.747690,Alarm,1,,9,46,16.74769,35176.74769,1.870675
65,M59,S6_WELDING_MC_ALARM,0,2024-01-23T09:46:16.808563,Alarm,1,,9,46,16.808563,35176.80856,1.931548
66,D3150,ACT_BATCH_CNT,46,2024-01-23T09:46:16.827928,Counting,1,,9,46,16.827928,35176.82793,1.950913
67,M62,S7_SUPPORT_CYL_NOT_DN_TR1,0,2024-01-23T09:46:16.886916,Alarm,1,,9,46,16.886916,35176.88692,2.009901
68,D4120,S8_TOTAL_HEIGHT_TR1,21.25,2024-01-23T09:46:16.911209,Counting,1,,9,46,16.911209,35176.91121,2.034194
69,M63,S7_SUPPORT_CYL_NOT_DN_TR3,0,2024-01-23T09:46:16.990665,Alarm,1,,9,46,16.990665,35176.99067,2.11365
70,D4320,S8_TOTAL_HEIGHT_TR3,21.2,2024-01-23T09:46:17.000644,Counting,1,,9,46,17.000644,35177.00064,2.123629
71,M64,S7_WELDING_MC_ALARM,0,2024-01-23T09:46:17.025972,Alarm,1,,9,46,17.025972,35177.02597,2.148957
72,D4220,S9_TOTAL_HEIGHT_TR2,21.17,2024-01-23T09:46:17.089326,Counting,1,,9,46,17.089326,35177.08933,2.212311
73,M65,S7_WELDING_UNIT_NOT_READY,0,2024-01-23T09:46:17.144095,Alarm,1,,9,46,17.144095,35177.1441,2.26708
74,D4420,S9_TOTAL_HEIGHT_TR4,21.18,2024-01-23T09:46:17.154219,Counting,1,,9,46,17.154219,35177.15422,2.277204
75,M67,S10_HOLDING_CYL_NOT_REV_TR1-X110,0,2024-01-23T09:46:17.208377,Alarm,1,,9,46,17.208377,35177.20838,2.331362
76,D3043,EFF,54.7,2024-01-23T09:46:17.292296,Counting,1,,9,46,17.292296,35177.2923,2.415281
77,M68,S10_HOLDING_CUL_NOT_REV-X111,0,2024-01-23T09:46:17.293509,Alarm,1,,9,46,17.293509,35177.29351,2.416494
78,D3150,ACT_BATCH_CNT,46,2024-01-23T09:46:17.348493,Counting,1,,9,46,17.348493,35177.34849,2.471478
79,M69,S10_HOLDING_CYL_NOT_REV_TR3_-X130,0,2024-01-23T09:46:17.376377,Alarm,1,,9,46,17.376377,35177.37638,2.499362
80,M70,S11_HORZ_PICK_&_PLACE_SLIDE_NOT_REV_,0,2024-01-23T09:46:17.421363,Alarm,1,,9,46,17.421363,35177.42136,2.544348
81,M71,S10_HOLDING_CYL_NOT_REV_TR4,0,2024-01-23T09:46:17.471867,Alarm,1,,9,46,17.471867,35177.47187,2.594852
